Run,pH,C0,Time,Dose,Temp,Flow,Chloride,Hardness,Carbonate,NOM,Order,q_removal
262,5.38,5.97,35,4.79,20.7,0.744,17,413,5,43,123,5.005651409061473
263,6.1,7.01,16,1.0,39.7,0.94,39,31,21,48,368,4.108586548896543
264,7.45,4.16,47,4.27,21.2,0.571,76,377,89,39,96,5.005938405611848
265,7.03,1.92,60,1.42,39.5,1.994,23,430,26,2,143,3.7007683144271657
266,5.32,1.17,32,4.58,36.9,1.349,82,362,96,37,239,2.838366285461821
267,4.28,2.36,33,3.84,28.7,0.879,90,111,60,24,442,2.806334889098484
268,8.13,8.5,103,1.01,37.3,1.591,77,496,88,21,97,3.3670973001895588
269,6.55,3.56,50,1.81,28.1,1.416,11,20,11,49,407,5.063764554824941
270,6.58,7.58,82,4.94,25.6,0.905,80,454,57,28,122,7.753081983695127
271,8.34,9.32,81,3.26,35.7,1.141,73,306,51,10,183,4.909140980624111
272,7.57,8.17,24,3.83,31.0,1.19,65,3,94,32,202,4.271112949485593
273,4.24,1.96,86,3.05,32.0,1.221,17,336,91,4,246,3.619147353727013
274,6.78,9.41,112,1.59,26.5,1.185,90,474,64,41,305,4.823518535379458
275,5.77,1.36,110,4.21,28.3,0.576,80,48,82,0,298,4.09565549990213
276,7.64,4.51,85,4.5,35.9,1.971,82,25,65,37,351,5.164990198473316
277,8.49,8.51,113,3.71,34.4,0.914,10,66,68,43,386,3.7244332907420943
278,7.5,5.77,30,2.12,34.1,1.249,92,29,84,1,395,5.1129052054671495
279,4.43,7.08,22,4.67,24.1,1.053,40,215,84,37,284,3.2118064877680195
280,7.95,9.21,44,1.19,30.9,0.891,33,373,36,39,125,3.624242163951256
281,6.8,7.06,30,0.68,33.5,1.132,13,6,9,12,302,5.122914716293708
282,4.67,8.31,18,4.88,34.6,1.318,58,247,92,11,223,3.2022490182716203
283,7.73,6.75,82,4.72,25.8,1.218,23,265,42,26,418,5.952711739747638
284,5.58,9.29,54,3.28,29.7,1.545,49,415,81,49,219,4.761510042767023
285,8.77,2.72,95,2.05,35.3,0.816,57,130,79,35,129,3.1175163292035464
286,5.92,3.4,75,3.73,26.5,0.631,54,419,21,36,420,5.786151992743285
287,4.57,2.23,106,4.24,34.0,0.594,48,181,87,14,289,3.4639229046206617
288,8.66,6.18,73,3.53,26.8,1.75,39,108,89,47,444,3.955519373936547
289,6.76,1.88,109,0.96,27.3,1.953,16,308,2,31,376,3.641401272934028
290,4.92,6.56,108,0.66,21.0,0.811,3,296,47,44,291,3.8321227910110838
291,6.0,2.12,98,2.74,20.1,0.785,52,233,11,23,355,5.942634741821735
292,8.1,6.02,115,1.19,28.8,1.304,64,78,73,40,294,3.9658295295760873
293,7.28,7.99,54,1.3,24.2,1.192,44,428,55,32,396,4.854871139160557
294,6.0,4.19,42,4.54,26.9,0.574,42,443,45,49,340,5.741004774106029
295,7.24,3.73,108,4.82,39.0,0.721,12,61,58,42,112,5.531464157864374
296,7.78,1.15,56,0.79,26.4,0.918,54,279,72,13,179,3.221640509912376
297,8.15,5.07,49,4.92,29.1,1.557,21,463,93,11,307,4.722346772196988
298,5.2,6.21,21,2.91,38.9,1.947,50,263,47,13,432,3.7672383826390283
299,7.86,7.56,63,1.41,20.1,1.258,6,365,80,4,487,4.405307182767657
300,3.31,8.85,117,4.37,29.4,1.495,47,324,66,24,481,3.1597156401845923
301,4.07,2.19,16,2.6,20.4,1.504,74,441,23,33,422,1.929373263542219
302,7.81,7.14,104,2.55,28.6,1.881,23,98,9,38,233,4.550525799336803
303,3.26,2.93,49,1.52,37.8,0.53,53,433,31,37,311,2.6344813326361676
304,3.41,4.14,116,2.32,36.6,1.718,87,380,44,16,164,3.1928151042582447
305,8.07,4.73,54,1.54,34.9,0.776,89,39,20,42,136,4.411154858144583
306,7.05,1.59,61,3.58,39.8,1.212,50,80,16,5,197,5.886173523964832
307,6.29,1.39,56,0.82,38.5,0.856,82,179,73,33,258,4.474719577066826
308,6.3,3.29,95,1.68,37.8,1.128,12,148,45,38,232,5.50351351343314
309,4.63,7.41,52,3.23,30.5,1.675,8,243,10,6,115,3.8877552221465317
310,7.09,2.96,116,3.33,22.5,1.474,31,425,89,30,120,5.521310645226651
311,5.87,1.73,73,4.81,31.7,1.077,64,185,98,2,349,5.916029117326931
312,3.19,1.61,13,1.45,32.3,1.228,44,187,27,17,224,1.4165839247252732
313,5.01,5.55,76,1.94,23.3,1.469,25,278,40,1,402,5.111547161856597
314,7.89,3.1,15,2.53,38.7,1.626,15,87,95,18,397,2.6931492620735122
315,4.72,4.87,116,2.35,23.9,0.885,51,317,41,38,127,3.9465004084740936
316,8.12,8.41,36,4.57,33.8,1.678,6,366,100,32,285,3.755196998733176
317,8.54,4.89,111,1.11,23.6,1.911,22,80,64,7,411,3.150853685622123
318,3.68,6.43,100,3.69,22.9,1.254,18,471,78,42,107,3.7713452173122137
319,6.2,8.76,24,4.98,28.0,0.545,95,118,23,10,370,5.1857516923128095
320,6.36,5.04,16,2.3,27.3,1.486,100,445,1,3,325,4.753436225119048
321,3.3,1.28,102,0.85,24.4,1.234,40,33,90,21,133,2.2273507085429705
322,3.8,7.13,53,4.47,35.9,1.978,30,181,67,33,452,3.0312361557782124
323,6.34,1.74,13,2.31,24.9,0.505,5,167,69,15,44,3.433913516952401
324,4.31,4.92,48,0.61,27.5,1.061,31,380,74,11,460,3.461072841169973
325,3.59,2.32,27,2.67,38.0,1.483,27,250,51,42,65,2.3187093745485723
326,7.82,7.35,109,4.54,23.1,1.082,76,71,99,12,283,5.328068960703031
327,7.78,9.75,105,1.49,27.2,0.646,53,198,7,1,85,3.6097195058281315
328,4.0,5.24,87,0.63,34.5,1.33,27,253,28,49,242,3.371319461252829
