Run,pH,C0,Time,Dose,Temp,Flow,Chloride,Hardness,Carbonate,NOM,Order
56,6.27,7.82,119,2.94,29.3,0.565,81,230,84,16,55
57,5.91,4.58,110,0.55,26.0,1.168,41,401,97,31,148
58,7.0,8.18,49,3.26,22.9,1.659,96,102,58,24,18
59,5.14,2.81,80,0.59,20.8,0.749,71,54,80,39,204
60,5.94,7.26,47,2.56,31.9,1.27,85,190,78,42,78
61,6.46,9.39,111,3.39,20.2,1.065,34,493,34,5,494
62,4.53,4.4,49,0.81,32.5,1.668,76,396,40,4,262
63,7.67,1.68,85,0.94,21.2,1.11,86,368,35,49,323
64,4.63,5.11,115,4.05,28.8,0.86,8,495,25,28,483
65,4.34,3.47,64,1.18,33.1,1.046,7,350,33,44,79
66,7.75,2.88,104,4.46,36.1,1.305,34,271,32,14,39
67,3.81,1.01,48,3.69,34.0,1.182,98,206,56,33,451
68,8.36,9.25,78,3.62,38.6,1.96,48,70,9,3,46
69,6.04,7.42,74,3.73,36.9,1.561,1,211,22,34,238
70,6.93,5.29,25,1.41,20.6,1.988,99,73,75,45,391
71,6.53,6.95,23,1.53,27.6,1.596,57,221,30,30,352
72,6.82,6.39,46,2.87,37.4,1.101,19,208,89,19,341
73,8.38,7.49,60,4.19,33.9,0.623,4,144,65,31,277
74,8.93,7.67,70,4.1,25.2,0.804,19,170,49,1,290
75,8.99,8.46,101,2.07,23.0,0.814,61,267,26,35,317
76,3.87,5.09,37,1.64,28.3,0.634,33,91,96,27,304
77,6.33,6.86,33,2.78,31.5,1.97,66,292,99,25,268
78,3.38,8.07,64,2.81,26.3,1.343,39,482,24,22,69
79,7.55,2.33,83,3.16,35.8,1.411,95,171,61,16,455
80,4.59,2.48,93,4.56,22.0,1.53,13,5,22,30,465
81,4.18,4.34,12,2.09,26.6,1.49,9,217,74,37,154
82,5.87,6.45,115,2.66,36.6,0.827,89,14,90,25,82
83,8.99,2.02,79,4.65,23.3,1.016,92,124,93,34,477
84,5.36,5.71,96,2.91,24.3,1.983,79,85,63,4,172
85,7.57,7.23,20,1.85,34.4,0.973,34,385,88,17,321
86,6.17,5.68,72,2.0,25.2,1.963,51,272,76,28,90
87,4.97,3.77,80,3.3,30.5,1.664,70,5,52,19,180
88,5.61,7.19,50,2.73,34.1,0.55,42,172,17,2,414
89,7.85,4.27,57,0.76,20.5,1.352,63,128,95,10,312
90,4.82,4.46,102,4.78,27.8,1.542,53,332,88,39,278
91,4.96,2.86,71,2.21,26.9,1.149,3,11,53,22,381
92,8.85,2.09,41,3.1,38.6,1.76,59,399,69,45,472
93,6.68,1.29,104,5.0,31.3,1.842,30,294,42,39,362
94,3.99,1.89,66,2.29,31.6,0.953,20,104,89,41,324
95,5.7,3.02,90,3.68,27.4,1.009,7,419,77,32,431
96,5.45,5.77,106,4.44,28.9,1.754,89,224,67,15,347
97,5.02,8.66,107,4.15,23.7,0.97,47,84,64,30,86
98,5.89,3.11,116,3.21,24.9,1.374,1,408,86,13,75
99,5.47,7.21,19,1.69,28.7,0.659,77,34,50,37,438
100,6.08,2.14,59,1.83,39.0,0.799,85,367,95,9,15
101,5.59,2.63,104,1.86,31.0,1.603,68,220,58,43,249
102,5.67,3.96,11,0.73,25.7,0.582,8,134,33,25,433
103,6.88,4.3,33,3.06,24.7,1.147,67,98,3,41,19
104,7.46,1.85,71,1.25,37.9,1.65,48,41,75,27,322
105,7.34,3.67,108,0.7,33.3,1.384,66,226,13,24,332
106,7.17,1.63,65,3.77,20.9,1.747,68,328,4,22,56
107,4.84,6.6,55,2.69,22.3,1.764,81,321,14,48,301
108,7.31,6.52,95,3.6,29.9,1.457,90,462,96,5,229
109,6.61,7.89,67,3.46,32.7,1.021,75,450,78,18,331
110,5.96,7.61,76,3.99,37.3,1.827,33,410,77,6,132
111,4.38,6.88,64,4.8,21.8,1.917,20,194,36,11,137
112,4.95,9.02,19,1.99,21.3,1.301,32,151,8,36,423
113,7.29,2.52,103,1.79,22.3,1.428,93,256,22,3,335
114,4.74,6.73,112,3.74,35.4,0.776,95,212,41,47,25
115,8.78,7.38,51,2.13,28.9,1.51,78,160,43,1,464
116,3.98,7.64,34,1.98,30.7,1.865,58,26,28,42,281
117,7.34,5.25,40,3.87,37.1,1.046,71,137,6,27,247
118,4.54,7.51,97,4.91,20.7,0.792,66,408,66,4,237
119,6.15,9.94,13,3.97,29.4,1.98,57,26,32,15,117
120,5.31,8.97,107,2.67,24.6,1.776,82,418,4,14,42
121,6.36,2.27,39,2.17,23.7,1.739,84,223,48,8,220
122,7.55,3.49,94,2.04,32.5,1.993,43,328,75,43,176
123,5.1,8.02,51,3.85,37.7,0.714,61,404,33,3,320
124,6.9,8.53,26,1.95,34.8,0.932,54,321,19,29,153
125,4.01,6.79,42,0.78,24.0,1.538,38,198,53,5,231
126,3.47,2.46,117,1.22,29.6,0.518,28,460,67,45,227
127,3.2,7.33,114,1.08,29.8,1.287,16,175,15,3,417
128,5.26,3.46,78,0.57,31.4,1.246,10,50,60,14,203
129,6.48,6.13,99,4.38,28.1,0.638,31,158,30,18,126
130,7.23,7.73,67,4.75,30.6,1.342,41,283,14,18,329
131,7.15,9.67,87,0.51,24.4,1.661,90,16,12,28,31
132,4.56,8.45,53,3.7,21.2,0.663,70,221,93,25,113
133,8.64,7.37,17,4.48,31.4,0.526,39,398,44,45,470
134,7.92,3.51,24,3.02,25.2,1.37,79,13,87,8,271
135,3.48,7.16,54,1.97,29.2,0.756,88,377,83,31,140
136,7.69,2.0,86,4.24,30.0,1.043,6,338,14,8,57
137,8.68,6.09,76,2.3,27.9,0.981,93,499,10,20,192
138,4.81,6.4,32,1.93,22.2,1.535,2,335,72,27,24
139,7.21,6.47,74,2.6,32.2,1.538,99,53,48,17,17
140,4.07,5.62,24,2.16,26.3,1.693,53,233,1,23,265
141,4.65,3.93,38,1.58,36.2,1.815,42,182,14,45,66
142,5.3,2.21,63,3.34,22.6,1.719,98,396,71,5,208
143,3.4,2.95,18,4.35,21.5,1.657,28,82,74,0,479
144,3.35,9.92,102,1.56,31.1,0.722,96,421,53,27,94
145,3.79,1.53,27,4.34,34.3,1.215,81,318,12,50,253
146,4.78,4.59,41,2.92,36.4,0.689,92,447,59,11,266
147,3.88,8.63,103,4.4,33.3,1.501,27,126,76,8,23
148,5.17,4.79,62,1.37,21.9,0.888,30,46,87,4,222
149,6.69,4.1,26,3.52,32.8,0.587,58,68,60,1,261
150,4.3,4.35,38,3.4,20.5,0.699,34,177,91,19,426
151,5.34,7.75,107,1.87,22.0,1.548,75,262,32,43,5
152,4.57,9.46,80,3.9,38.2,1.78,45,286,85,13,116
153,8.42,9.35,62,2.52,20.9,1.714,59,282,75,41,45
154,5.55,8.35,66,1.37,31.3,1.642,55,426,0,22,16
155,6.23,9.52,76,2.4,22.1,0.781,69,135,61,2,462
156,7.02,3.76,89,1.32,34.6,1.768,22,173,97,36,357
157,6.81,7.97,92,2.72,27.3,0.618,58,110,73,24,3
158,7.82,1.24,88,2.98,26.2,0.598,24,194,8,47,218
159,5.98,5.82,30,0.52,33.5,0.821,81,402,11,9,405
160,3.45,9.38,38,2.14,35.5,1.086,35,172,36,3,60
161,5.83,5.75,106,2.99,20.8,0.685,55,268,97,34,110
162,4.6,4.38,63,1.02,38.8,1.159,63,164,2,25,318
163,3.56,8.55,58,4.6,30.3,0.763,1,259,24,35,428
164,6.14,1.46,37,4.14,39.4,1.964,5,196,44,25,29
165,4.48,8.42,100,0.83,30.4,1.023,80,183,27,32,437
166,6.85,8.48,75,2.95,23.2,0.512,57,393,10,19,471
167,8.47,3.36,81,2.78,25.4,1.264,51,15,97,42,26
168,6.03,6.83,102,4.07,25.4,1.029,26,416,15,7,7
169,6.51,9.64,58,4.13,32.2,1.176,90,410,7,21,453
170,3.61,7.21,105,3.49,20.3,1.818,5,153,20,39,108
171,6.97,2.78,117,4.11,25.9,1.826,38,240,64,15,37
172,3.72,7.91,47,1.05,39.6,1.125,54,45,95,29,157
173,7.13,4.64,38,3.24,27.6,1.814,18,59,35,29,489
174,4.1,4.22,91,3.76,28.6,1.852,98,270,38,4,118
175,7.41,5.51,73,2.4,32.5,0.649,33,457,25,38,114
176,7.96,8.7,44,2.43,35.0,1.068,66,256,67,23,175
177,5.29,5.43,46,1.35,26.9,1.463,5,251,2,27,373
178,4.16,8.13,91,3.08,37.6,1.572,36,94,18,31,181
179,4.73,4.17,77,2.08,34.6,0.936,3,385,94,22,144
180,7.44,6.22,82,1.29,30.2,0.922,2,490,0,22,369
181,5.85,9.19,31,4.21,26.4,1.421,17,35,93,32,390
182,3.59,6.3,71,3.64,28.4,0.979,13,75,52,16,195
183,6.41,1.19,65,0.58,27.9,0.625,97,217,99,39,404
184,3.62,7.64,29,1.22,23.3,0.683,75,1,74,20,275
185,6.2,1.26,101,1.63,32.3,1.284,1,253,79,10,454
186,8.22,3.79,96,2.44,22.4,0.928,11,387,94,28,141
187,6.94,8.25,28,0.91,36.1,1.865,12,258,51,1,365
188,8.02,9.51,115,4.33,33.2,1.887,99,263,13,42,67
189,3.02,5.92,48,4.77,31.8,1.26,78,96,33,38,210
190,8.41,2.5,40,1.82,21.6,1.831,50,391,29,3,168
191,8.84,3.74,84,2.19,33.7,1.396,63,394,63,7,493
192,4.78,4.76,113,2.42,30.9,1.744,23,120,49,35,375
193,4.19,9.54,65,0.7,28.2,1.333,80,114,10,34,400
194,7.36,7.8,28,0.8,27.1,0.797,21,101,68,33,272
195,4.93,9.31,77,0.98,39.8,0.606,19,444,10,40,109
196,6.17,8.36,84,1.06,37.6,1.418,13,382,66,6,248
197,3.04,5.02,44,2.57,25.1,1.617,69,420,51,40,145
198,4.94,2.57,61,3.96,30.0,1.027,53,166,34,48,92
199,4.51,4.5,110,3.21,35.1,1.631,15,404,9,16,152
200,6.66,2.73,47,3.42,27.1,1.89,6,66,84,20,367
201,4.3,1.12,107,2.47,38.4,1.61,36,11,30,11,467
202,5.14,2.3,13,3.41,39.4,0.673,28,343,55,11,83
203,7.47,1.11,42,3.28,30.4,0.676,20,131,34,2,245
204,3.23,5.15,50,3.14,37.4,1.512,91,139,90,2,165
205,7.99,6.83,59,3.07,34.8,0.898,37,105,31,29,163
206,6.23,2.62,98,2.24,23.1,1.929,97,300,86,30,199
207,7.39,3.07,18,4.59,29.9,0.728,75,430,50,7,228
208,5.72,3.39,94,2.15,38.5,0.558,78,333,8,35,74
209,4.44,1.79,24,3.9,35.7,1.443,9,449,65,29,478
210,5.25,3.61,37,0.69,31.4,0.836,61,252,78,31,358
211,5.41,1.34,46,4.0,33.6,0.959,36,440,14,10,250
212,3.28,6.63,78,3.53,21.7,1.399,54,383,16,17,119
213,3.12,9.05,98,0.67,25.7,0.852,20,442,59,18,310
214,5.22,5.22,25,1.25,33.6,1.251,28,340,45,30,299
215,3.57,7.47,59,0.76,32.8,1.782,37,284,95,35,255
216,6.84,3.57,40,3.14,37.4,0.641,15,260,16,34,354
217,7.33,1.05,41,2.18,30.1,0.925,77,495,46,36,399
218,3.43,8.95,14,1.91,24.1,1.904,10,455,19,31,225
219,4.36,5.17,102,2.86,31.9,1.099,74,187,18,47,353
220,3.9,1.82,31,0.99,21.0,1.788,52,474,90,32,234
221,3.53,4.31,96,4.97,24.6,0.729,30,312,54,44,382
222,4.46,5.37,55,2.97,20.3,0.959,65,2,12,43,274
223,3.54,5.31,75,3.59,33.1,1.004,100,334,32,18,36
224,3.95,6.77,89,1.64,21.7,0.731,27,244,43,19,196
225,3.84,6.6,86,2.08,20.6,0.87,46,57,4,5,139
226,4.89,3.0,49,0.56,31.1,1.938,91,112,78,12,364
227,5.56,1.76,113,1.62,37.7,1.154,35,17,55,47,244
228,8.88,2.57,66,1.05,31.7,1.107,42,319,98,6,439
229,8.37,7.28,99,2.64,24.9,1.436,29,36,82,21,286
230,7.48,7.77,79,1.7,27.6,1.564,87,90,61,7,59
231,8.9,1.71,11,4.73,20.5,0.747,56,330,72,23,111
232,4.26,6.72,46,2.25,39.1,0.666,0,124,83,7,89
233,8.15,4.08,80,1.38,39.2,0.963,26,127,69,21,436
234,3.94,4.95,100,3.51,39.5,1.74,11,255,84,39,6
235,6.19,9.15,28,3.38,34.5,0.59,77,345,37,38,360
236,6.1,4.66,84,2.52,32.1,0.865,81,72,41,48,346
237,3.05,8.9,69,2.27,35.4,1.896,99,72,22,9,338
238,6.89,3.14,110,4.64,28.5,0.878,89,189,31,27,158
239,3.82,9.46,29,4.86,28.0,0.555,41,213,40,21,150
240,6.05,5.4,103,3.37,21.7,1.265,60,116,62,50,177
241,4.71,6.36,79,4.3,29.3,1.381,94,298,8,31,393
242,3.21,5.63,109,4.57,39.7,1.466,59,434,75,24,184
243,8.43,4.56,15,4.04,21.8,1.446,55,137,50,41,449
244,5.79,4.23,19,1.76,33.3,1.337,30,101,49,19,10
245,4.7,8.58,58,2.5,37.9,0.741,19,286,99,20,380
246,4.44,1.51,21,2.76,22.5,1.075,43,150,71,27,103
247,5.52,8.78,70,1.34,25.5,0.946,15,204,82,47,81
248,6.13,7.93,117,3.03,27.0,1.163,11,314,46,45,38
249,8.79,1.32,120,2.71,38.2,1.18,29,351,54,28,314
250,8.5,4.41,27,1.36,39.2,0.993,71,156,85,5,167
251,8.62,8.64,29,3.65,24.5,0.821,72,412,20,14,469
252,5.93,3.24,34,3.92,24.8,0.824,92,374,82,46,296
253,8.1,2.68,67,3.92,32.4,1.528,38,452,59,44,474
254,3.36,5.49,62,3.94,39.4,1.809,59,162,76,40,198
255,8.0,5.13,13,0.65,39.3,1.409,86,273,85,48,297
256,6.77,3.55,93,2.58,33.4,0.848,22,337,88,8,416
257,5.04,7.44,15,1.07,24.5,1.122,69,463,77,48,146
258,8.3,2.41,42,2.83,30.7,1.116,26,400,48,20,392
259,8.32,6.19,70,2.01,25.9,1.208,8,90,52,40,147
260,6.95,8.27,52,3.98,29.0,1.155,61,486,43,38,447
261,8.89,5.58,101,3.49,31.5,1.727,77,39,45,33,287
262,5.38,5.97,35,4.79,20.7,0.744,17,413,5,43,123
263,6.1,7.01,16,1.0,39.7,0.94,39,31,21,48,368
264,7.45,4.16,47,4.27,21.2,0.571,76,377,89,39,96
265,7.03,1.92,60,1.42,39.5,1.994,23,430,26,2,143
266,5.32,1.17,32,4.58,36.9,1.349,82,362,96,37,239
267,4.28,2.36,33,3.84,28.7,0.879,90,111,60,24,442
268,8.13,8.5,103,1.01,37.3,1.591,77,496,88,21,97
269,6.55,3.56,50,1.81,28.1,1.416,11,20,11,49,407
270,6.58,7.58,82,4.94,25.6,0.905,80,454,57,28,122
271,8.34,9.32,81,3.26,35.7,1.141,73,306,51,10,183
272,7.57,8.17,24,3.83,31.0,1.19,65,3,94,32,202
273,4.24,1.96,86,3.05,32.0,1.221,17,336,91,4,246
274,6.78,9.41,112,1.59,26.5,1.185,90,474,64,41,305
275,5.77,1.36,110,4.21,28.3,0.576,80,48,82,0,298
276,7.64,4.51,85,4.5,35.9,1.971,82,25,65,37,351
277,8.49,8.51,113,3.71,34.4,0.914,10,66,68,43,386
278,7.5,5.77,30,2.12,34.1,1.249,92,29,84,1,395
279,4.43,7.08,22,4.67,24.1,1.053,40,215,84,37,284
280,7.95,9.21,44,1.19,30.9,0.891,33,373,36,39,125
281,6.8,7.06,30,0.68,33.5,1.132,13,6,9,12,302
282,4.67,8.31,18,4.88,34.6,1.318,58,247,92,11,223
283,7.73,6.75,82,4.72,25.8,1.218,23,265,42,26,418
284,5.58,9.29,54,3.28,29.7,1.545,49,415,81,49,219
285,8.77,2.72,95,2.05,35.3,0.816,57,130,79,35,129
286,5.92,3.4,75,3.73,26.5,0.631,54,419,21,36,420
287,4.57,2.23,106,4.24,34.0,0.594,48,181,87,14,289
288,8.66,6.18,73,3.53,26.8,1.75,39,108,89,47,444
289,6.76,1.88,109,0.96,27.3,1.953,16,308,2,31,376
290,4.92,6.56,108,0.66,21.0,0.811,3,296,47,44,291
291,6.0,2.12,98,2.74,20.1,0.785,52,233,11,23,355
292,8.1,6.02,115,1.19,28.8,1.304,64,78,73,40,294
293,7.28,7.99,54,1.3,24.2,1.192,44,428,55,32,396
294,6.0,4.19,42,4.54,26.9,0.574,42,443,45,49,340
295,7.24,3.73,108,4.82,39.0,0.721,12,61,58,42,112
296,7.78,1.15,56,0.79,26.4,0.918,54,279,72,13,179
297,8.15,5.07,49,4.92,29.1,1.557,21,463,93,11,307
298,5.2,6.21,21,2.91,38.9,1.947,50,263,47,13,432
299,7.86,7.56,63,1.41,20.1,1.258,6,365,80,4,487
300,3.31,8.85,117,4.37,29.4,1.495,47,324,66,24,481
301,4.07,2.19,16,2.6,20.4,1.504,74,441,23,33,422
302,7.81,7.14,104,2.55,28.6,1.881,23,98,9,38,233
303,3.26,2.93,49,1.52,37.8,0.53,53,433,31,37,311
304,3.41,4.14,116,2.32,36.6,1.718,87,380,44,16,164
305,8.07,4.73,54,1.54,34.9,0.776,89,39,20,42,136
306,7.05,1.59,61,3.58,39.8,1.212,50,80,16,5,197
307,6.29,1.39,56,0.82,38.5,0.856,82,179,73,33,258
308,6.3,3.29,95,1.68,37.8,1.128,12,148,45,38,232
309,4.63,7.41,52,3.23,30.5,1.675,8,243,10,6,115
310,7.09,2.96,116,3.33,22.5,1.474,31,425,89,30,120
311,5.87,1.73,73,4.81,31.7,1.077,64,185,98,2,349
312,3.19,1.61,13,1.45,32.3,1.228,44,187,27,17,224
313,5.01,5.55,76,1.94,23.3,1.469,25,278,40,1,402
314,7.89,3.1,15,2.53,38.7,1.626,15,87,95,18,397
315,4.72,4.87,116,2.35,23.9,0.885,51,317,41,38,127
316,8.12,8.41,36,4.57,33.8,1.678,6,366,100,32,285
317,8.54,4.89,111,1.11,23.6,1.911,22,80,64,7,411
318,3.68,6.43,100,3.69,22.9,1.254,18,471,78,42,107
319,6.2,8.76,24,4.98,28.0,0.545,95,118,23,10,370
320,6.36,5.04,16,2.3,27.3,1.486,100,445,1,3,325
321,3.3,1.28,102,0.85,24.4,1.234,40,33,90,21,133
322,3.8,7.13,53,4.47,35.9,1.978,30,181,67,33,452
323,6.34,1.74,13,2.31,24.9,0.505,5,167,69,15,44
324,4.31,4.92,48,0.61,27.5,1.061,31,380,74,11,460
325,3.59,2.32,27,2.67,38.0,1.483,27,250,51,42,65
326,7.82,7.35,109,4.54,23.1,1.082,76,71,99,12,283
327,7.78,9.75,105,1.49,27.2,0.646,53,198,7,1,85
328,4.0,5.24,87,0.63,34.5,1.33,27,253,28,49,242
329,4.16,5.72,93,1.85,27.2,0.553,22,109,1,15,186
330,5.82,6.05,35,1.74,21.9,1.355,86,308,76,21,383
331,5.5,7.85,92,4.89,39.5,1.232,83,209,3,26,159
332,3.16,6.17,51,2.69,27.8,0.602,2,304,54,11,12
333,5.09,1.06,60,3.09,26.8,1.436,73,454,83,22,35
334,3.73,3.08,60,3.3,27.0,1.846,71,393,23,32,28
335,6.55,9.06,41,4.12,37.8,1.644,85,10,51,45,170
336,7.84,4.49,67,3.62,23.6,1.309,20,354,12,25,142
337,4.23,9.8,64,4.93,38.5,1.612,22,133,28,35,398
338,3.17,2.67,81,2.82,30.6,1.804,29,371,24,26,342
339,3.12,1.41,73,0.92,29.5,1.614,71,344,8,6,221
340,5.73,3.91,77,4.7,26.1,1.592,29,154,46,0,95
341,6.6,4.1,16,4.22,33.2,1.571,92,131,20,44,51
342,7.18,9.71,111,2.54,29.8,1.723,2,200,57,28,240
343,7.61,9.37,55,3.0,22.7,1.479,32,35,22,13,484
344,5.8,9.9,25,3.75,32.2,1.671,25,370,1,28,378
345,6.7,2.08,75,3.88,30.7,1.69,67,196,80,18,178
346,8.45,1.35,27,4.29,36.2,1.506,31,58,57,13,41
347,8.05,6.66,39,3.15,21.9,0.911,64,244,28,14,498
348,4.26,9.63,19,2.13,32.6,0.517,16,487,73,15,421
349,8.67,4.25,112,2.02,27.7,1.908,36,316,13,18,206
350,8.01,2.78,44,0.6,29.2,1.71,4,499,22,47,282
351,4.99,6.34,25,4.53,32.1,1.902,28,488,17,12,254
352,3.84,3.44,119,1.91,26.6,1.377,89,165,62,25,412
353,5.39,1.13,66,1.89,24.8,0.839,42,56,58,17,4
354,4.8,6.08,86,1.61,38.3,1.016,60,346,86,43,256
355,7.06,2.45,11,0.97,30.3,0.76,87,83,5,5,448
356,7.08,4.04,55,2.57,25.0,1.806,56,14,62,32,100
357,8.82,5.18,20,1.58,28.6,1.44,28,426,4,44,226
358,3.09,8.59,107,2.79,23.9,1.401,68,289,98,10,429
359,8.97,9.88,32,0.59,32.6,1.194,5,230,63,25,213
360,4.85,1.22,36,4.67,22.3,1.955,86,55,6,23,171
361,8.8,3.16,53,3.37,21.4,0.692,25,42,1,20,98
362,8.62,1.91,53,4.7,35.6,1.389,3,291,39,28,292
363,8.6,5.48,69,4.23,30.8,1.926,65,472,52,33,215
364,6.32,5.06,59,4.51,25.0,1.032,57,120,70,20,61
365,5.11,6.49,80,2.11,33.8,1.43,62,118,100,44,47
366,4.41,8.75,107,3.55,33.4,0.83,44,65,55,26,32
367,7.66,7.91,15,0.75,26.2,1.135,96,247,29,8,267
368,6.28,5.69,42,0.62,22.7,0.59,47,174,54,21,327
369,5.66,2.18,56,2.37,34.4,1.922,84,63,16,37,200
370,3.85,9.86,56,2.02,22.1,1.325,88,92,69,49,446
371,5.23,1.09,43,2.07,29.7,1.856,14,258,92,30,27
372,8.95,5.39,22,2.7,34.2,1.797,3,203,28,41,424
373,3.06,7.72,109,2.22,38.7,0.987,72,313,8,46,230
374,8.45,8.71,20,4.72,26.7,1.271,87,209,72,17,260
375,8.06,2.71,10,4.45,32.7,0.989,62,19,37,29,288
376,4.35,9.07,34,2.48,28.8,1.682,49,166,98,41,162
377,5.41,5.46,66,1.51,34.7,1.839,69,184,43,10,425
378,5.19,8.03,35,2.84,33.1,1.924,91,467,63,38,138
379,6.73,4.12,36,2.21,38.3,1.491,74,459,5,16,62
380,8.16,7.55,79,1.46,37.3,1.104,51,144,59,35,135
381,8.87,5.8,57,0.86,35.2,0.654,25,298,99,42,128
382,3.31,6.14,15,3.44,35.2,1.759,74,89,97,10,476
383,7.31,6.9,35,4.06,30.1,0.509,50,269,91,3,8
384,3.22,1.64,31,1.55,25.6,1.588,25,288,57,38,326
385,3.9,8.04,45,4.01,30.8,0.787,94,44,17,18,463
386,6.62,4.7,62,4.61,25.5,1.359,60,311,21,2,64
387,8.24,2.26,34,0.54,33.9,0.616,92,466,61,22,300
388,4.04,4.83,82,2.36,34.0,1.294,83,452,81,18,14
389,4.67,7.82,37,4.27,21.5,1.205,8,471,38,8,156
390,5.9,8.33,111,1.12,23.0,1.752,36,348,15,40,40
391,5.16,4.85,97,1.12,38.6,1.821,83,477,24,0,379
392,7.65,1.02,116,2.04,23.8,1.279,46,468,38,12,468
393,6.49,9.48,94,1.8,35.6,1.455,39,50,87,34,403
394,3.34,4.63,88,3.43,23.5,0.614,82,304,84,6,216
395,6.76,5.83,17,4.89,20.1,1.685,17,358,77,7,279
396,8.31,6.98,114,4.69,34.8,1.235,73,459,93,29,434
397,8.94,5.95,106,1.03,29.2,0.563,12,372,35,2,430
398,4.08,5.53,50,4.18,39.9,0.717,46,489,33,17,337
399,8.71,7.45,11,0.89,30.6,1.802,45,350,43,35,236
400,5.0,2.54,110,3.05,28.4,1.601,37,493,19,9,207
401,4.61,9.24,58,1.5,36.4,1.297,69,342,44,9,212
402,8.52,5.01,23,3.95,40.0,0.79,19,476,59,6,295
403,3.77,6.65,90,4.16,34.9,1.62,45,456,49,12,457
404,3.49,8.6,44,0.53,25.7,1.837,59,405,92,7,251
405,8.59,8.8,23,3.19,22.6,1.238,24,226,21,36,488
406,5.16,8.39,64,3.65,35.5,1.361,39,128,49,26,486
407,3.62,3.2,31,1.76,36.0,1.932,27,378,4,23,303
408,7.38,7.7,88,3.81,24.6,1.999,15,399,34,46,350
409,5.71,4.0,11,2.5,36.6,1.364,43,497,42,19,269
